NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
GRN,0.0,0.4580036940709639,0.4338792852713586,0.007237322639881601,0.016887086159723733,5.25591378912272
BEL,0.0,2.345813586548818,0.42125108481410634,0.351042570678422,1.5735199310562895,71.61133535838665
BUL,0.0,1.5565223529080994,0.4120206228286145,0.34335051902384545,0.8011512110556394,49.012067229683836
PER,0.0,1.4564195462366358,0.38552282106263885,0.32126901755219905,0.7496277076217978,14.210359901169841
SUD,0.0,1.8151461582168054,0.36638315179812864,0.3053192931651072,1.1434437132535695,1.7320966032968936
MKD,0.0,0.36042779517192736,0.3336937680850027,0.008020208126077417,0.018713818960847305,5.346805417384944
AUT,0.0,2.5224982933071805,0.3317838355260641,0.27648652960505343,1.914227928176063,47.95327043125731
MGL,0.0,1.9108999543507945,0.3094123346298032,0.999852524607485,0.6016350951135062,21.06336056875407
KEN,0.0,1.6350023173645765,0.3038513314698014,0.722830709207193,0.6083202766875822,38.70853847205416
NAM,0.0,1.1262284652998429,0.29811929963819367,0.24843274969849474,0.5796764159631543,6.236536025865515
HKG,0.0,1.5054726088003334,0.2934358989531581,0.6414669063271456,0.5705698035200296,28.67380333363033
EST,0.0,0.7958657728363108,0.28359742123307125,0.4337055909429978,0.07856276066024175,27.26155939281246
PHI,0.0,1.0419461811895374,0.275809283256054,0.22984106938004503,0.5362958285534384,9.302462546730915
POR,0.0,1.4481267190149434,0.2692309473035181,0.6553911519545844,0.5235046197568408,56.353146222669835
UAE,0.0,0.8011759008950838,0.21207597376634574,0.17672997813862143,0.4123699489901167,5.718931691824724
PAN,0.0,1.2168545600542462,0.20801184640215714,0.17334320533513095,0.8354995083169582,4.6163700485823425
SVK,0.0,1.0892316841990697,0.18926522883505037,0.5319507326291992,0.36801572273482014,40.07285541593979
GUA,0.0,1.1371064696055952,0.18793553328915505,0.5837407326986388,0.3654302036178015,16.23356935218052
KUW,0.0,0.6683279536273903,0.17674949253290237,0.14729124377741865,0.3442872173170693,2.9702126827421327
RSA,0.0,1.8559439093659391,0.16888383768375964,0.5393420340901789,1.1477180375920006,71.74469602927684
VIE,0.0,0.9361511242663323,0.1682901394296295,0.14024178285802458,0.6276192019786782,15.960745576271202
BRN,0.0,0.5544639274177388,0.14676986313998966,0.12230821928332472,0.2853858449944243,15.291022450167858
MYA,0.0,0.5386524916969588,0.14258448309625382,0.11882040258021151,0.27724760602049353,4.202429107443101
SYR,0.0,0.9643547750064876,0.1411736680071622,0.5486767525409545,0.27450435445837096,4.6901562938928105
SUI,0.0,3.2660884480658754,0.12210866824745109,1.9086091847048634,1.2353705951135607,77.56124802724638
